月份,AQI,范围,质量等级,PM2.5,PM10,NO2,CO,SO2,O3
2013-12,222,71~411,重度污染,180,195,48,1.867,41,36
2014-01,196,90~401,中度污染,155,164,39,1.577,32,39
2014-02,112,27~316,轻度污染,85,88,23,1.018,18,41
2014-03,103,66~153,轻度污染,78,107,32,0.932,21,50
2014-04,90,46~137,良,67,82,29,0.847,15,54
2014-05,109,61~204,轻度污染,76,148,29,0.858,18,67
2014-06,124,50~314,轻度污染,94,127,23,1.083,20,80
2014-07,82,30~160,良,58,97,21,0.919,11,58
2014-08,75,41~133,良,54,83,17,0.923,12,55
2014-09,76,26~160,良,54,84,19,0.877,15,46
2014-10,103,63~253,轻度污染,75,130,29,1.016,17,50
2014-11,126,31~402,轻度污染,95,121,29,1.22,23,30
2014-12,94,55~150,良,68,100,33,1.01,28,28
2015-01,134,53~264,轻度污染,102,121,36,1.194,27,34
2015-02,111,29~240,轻度污染,84,105,25,1.05,26,45
2015-03,88,22~184,良,63,88,24,0.99,21,51
2015-04,85,51~131,良,58,101,27,0.91,23,62
2015-05,88,47~156,良,62,101,30,0.968,14,71
2015-06,69,23~121,良,45,74,29,0.94,11,88
2015-07,59,22~132,良,40,61,25,0.797,9,77
2015-08,63,33~89,良,39,74,28,0.842,9,96
2015-09,64,36~82,良,41,73,30,0.893,10,94
2015-10,97,33~203,良,70,115,44,1.174,14,85
2015-11,89,28~192,良,65,83,39,1.247,17,46
2015-12,147,60~293,轻度污染,113,145,46,1.432,19,36
2016-01,119,55~253,轻度污染,88,108,42,1.168,20,48
2016-02,108,39~261,轻度污染,80,107,37,1.062,21,82
2016-03,117,36~211,轻度污染,87,120,44,1.1,22,98
2016-04,78,51~130,良,50,91,49,0.987,15,111
2016-05,83,39~181,良,48,94,38,0.845,12,121
2016-06,73,43~112,良,42,64,38,0.877,10,114
2016-07,67,34~126,良,36,63,31,0.742,11,106
2016-08,84,43~140,良,37,76,39,0.813,12,133
2016-09,84,29~139,良,45,90,51,0.837,14,131
2016-10,59,29~99,良,34,53,42,0.842,11,54
2016-11,82,38~153,良,55,85,55,1.12,16,55
2016-12,118,48~180,轻度污染,86,115,74,1.258,17,51
2017-01,119,53~252,轻度污染,87,94,61,1.287,16,60
2017-02,114,49~161,轻度污染,86,91,65,1.168,17,87
2017-03,90,62~140,良,63,84,63,0.968,14,91
2017-04,92,40~127,良,52,89,51,0.923,12,119
2017-05,109,47~188,轻度污染,43,74,48,0.794,11,156
2017-06,103,32~200,轻度污染,43,65,37,0.777,10,160
2017-07,76,29~176,良,33,58,30,0.684,9,128
2017-08,63,33~96,良,27,48,33,0.787,9,109
2017-09,67,34~123,良,36,57,44,1.007,10,99
2017-10,70,29~154,良,41,65,51,0.932,12,90
2017-11,100,31~174,良,67,107,73,1.04,14,72
2017-12,131,42~285,轻度污染,94,120,68,1.294,14,32
2018-01,119,29~231,轻度污染,88,85,49,1.081,9,55
2018-02,88,30~180,良,63,87,40,0.839,8,67
2018-03,66,0~95,良,45,65,41,0.745,6,88
2018-04,82,0~143,良,44,98,41,0.747,8,117
2018-05,60,0~104,良,30,50,33,0.703,5,111
2018-06,91,34~151,良,37,59,31,0.683,6,146
2018-07,63,26~118,良,25,45,25,0.6,5,111
2018-08,65,24~142,良,22,42,23,0.665,5,114
2018-09,66,30~125,良,28,56,35,0.697,6,113
2018-10,79,52~151,良,40,75,52,0.71,8,109
2018-11,79,0~222,良,55,66,54,0.953,7,67
2018-12,91,28~226,良,65,73,47,0.877,7,40
2019-01,117,43~216,轻度污染,87,98,53,1.081,8,44
2019-02,89,32~193,良,65,71,34,0.889,4,63
2019-03,84,44~144,良,55,88,49,0.739,7,95
2019-04,71,35~102,良,42,73,41,0.75,6,104
2019-05,85,40~119,良,30,69,39,0.645,5,138
2019-06,96,34~155,良,28,50,29,0.7,4,153
2019-07,78,28~133,良,26,51,26,0.619,4,131
2019-08,85,14~145,良,21,48,27,0.648,5,138
2019-09,85,36~139,良,30,66,39,0.73,6,137
2019-10,77,34~179,良,43,88,50,0.742,8,92
2019-11,77,34~135,良,41,84,54,0.68,8,72
2019-12,86,49~142,良,59,73,57,0.874,8,41
2020-01,90,30~183,良,65,59,42,0.868,6,45
2020-02,55,28~122,良,36,44,23,0.593,6,75
2020-03,62,33~125,良,35,60,37,0.606,7,84
2020-04,71,39~107,良,32,71,47,0.587,9,111
2020-05,84,36~164,良,31,64,34,0.558,6,137
2020-06,58,33~99,良,19,38,26,0.54,5,100
2020-07,53,31~93,良,24,36,25,0.658,4,93
2020-08,60,29~99,良,18,44,22,0.552,5,109
2020-09,79,43~140,良,28,62,41,0.66,6,131
2020-10,71,39~107,良,34,66,50,0.684,8,89
2020-11,72,35~109,良,38,69,53,0.753,9,59
2020-12,102,39~179,轻度污染,73,85,62,0.945,10,41
2021-01,94,62~178,良,49,71,51,0.816,8,44
2021-02,59,31~109,良,39,56,28,0.671,6,72
2021-03,70,29~156,良,30,50,38,0.684,7,73
2021-04,67,30~144,良,28,63,39,0.627,7,91
2021-05,72,24~121,良,23,50,29,0.59,6,118
2021-06,85,30~153,良,25,52,27,0.627,6,137
2021-07,48,18~97,优,14,31,19,0.494,6,89
2021-08,56,31~115,良,20,42,24,0.642,6,102
2021-09,70,30~121,良,22,51,26,0.637,6,120
2021-10,62,30~105,良,30,63,40,0.639,7,82
2021-11,74,28~102,良,38,88,52,0.68,7,74
2021-12,87,29~145,良,55,105,58,0.8,9,56
2022-01,94,28~175,良,68,105,44,0.913,7,58
2022-02,63,34~108,良,42,70,32,0.671,7,74
2022-03,71,29~138,良,20,51,33,0.606,8,96
2022-04,73,37~113,良,25,61,31,0.557,8,125
2022-05,82,50~124,良,28,60,31,0.535,8,136
2022-06,79,34~146,良,17,39,16,0.497,8,132
2022-07,66,33~109,良,17,36,18,0.545,7,117
2022-08,69,28~131,良,18,41,18,0.594,7,119
2022-09,76,41~115,良,23,56,27,0.617,9,128
2022-10,60,20~115,良,24,54,31,0.535,9,100
2022-11,61,29~122,良,38,69,37,0.707,8,69
2022-12,91,42~190,良,58,107,48,0.713,9,48
2023-01,81,38~158,良,56,97,38,0.742,7,70
2023-02,65,33~104,良,44,70,36,0.696,7,65
2023-03,79,34~144,良,40,106,39,0.684,7,97
2023-04,89,30~476,良,35,105,27,0.563,6,112
2023-05,69,28~118,良,31,61,24,0.558,6,113
2023-06,81,27~132,良,24,47,22,0.563,7,134
2023-07,51,24~88,良,16,30,15,0.429,6,96
2023-08,77,38~122,良,23,41,20,0.565,6,131
2023-09,61,32~126,良,24,42,21,0.593,6,105
2023-10,72,33~117,良,37,71,44,0.671,7,113
2023-11,69,30~100,良,37,80,41,0.6,7,71
2023-12,87,23~282,良,58,92,46,0.8,7,31
2024-01,90,29~188,良,64,95,47,0.861,6,55
2024-02,68,27~235,良,47,62,20,0.676,5,79
2024-03,75,42~114,良,45,89,35,0.658,6,99
2024-04,73,34~122,良,36,70,28,0.643,7,119
2024-05,89,44~131,良,29,60,25,0.535,7,143
2024-06,87,23~146,良,20,36,18,0.51,7,141
2024-07,50,31~117,良,13,25,12,0.452,7,95
2024-08,76,41~140,良,20,36,15,0.526,7,130
2024-09,62,26~104,良,20,35,17,0.6,6,109
2024-10,60,32~112,良,29,50,27,0.603,6,101
2024-11,56,29~88,良,30,60,36,0.613,6,78
2024-12,78,45~124,良,54,88,48,0.7,7,64
2025-01,91,35~179,良,63,99,45,0.729,8,75
2025-02,70,38~115,良,47,73,28,0.632,6,80
2025-03,75,35~150,良,41,78,29,0.519,5,104
2025-04,89,53~137,良,34,82,25,0.513,6,139
2025-05,88,49~120,良,32,63,19,0.51,6,143
2025-06,60,23~130,良,17,28,15,0.577,6,108
2025-07,56,27~119,良,15,25,12,0.49,6,102
2025-08,57,32~95,良,12,23,14,0.542,7,105
2025-09,49,22~107,优,17,28,17,0.673,6,91
2025-10,49,24~76,优,27,43,22,0.668,6,76
2025-11,77,29~188,良,44,94,41,0.683,7,82
2025-12,83,35~178,良,56,92,41,0.819,7,66
2026-01,73,25~166,良,48,76,41,0.755,6,64
2026-02,63,26~134,良,38,72,25,0.721,6,80
2026-03,76,22~121,良,46,70,29,0.777,6,104
2026-04,63,27~100,良,22,52,22,0.62,7,107
2026-05,69,24~120,良,21,40,16,0.587,8,119
2026-06,88,38~144,良,22,38,16,0.613,8,143
2026-07,46,27~65,优,7,13,10,0.55,8,87
